"doc_id","text"
1,"The governance of AI, and now generative AI, is becoming a significant issue of concern for intellectual property law and legal regulators across the world. This article addresses this from the perspective of how the law responds when it is perceived as an obstacle to technological development and progress. It demonstrates, through the example of ‘safe harbour’, the ease with which the legal rights of copyright holders were compromised for technological progress, the problems and public backlash this led to, and how this can be seen to be reflected in a more cautious approach being taken now by some legislators against further weakening the rights of copyright holders in the name of generative AI technology. As a case study of copyright law’s reaction to challenges posed by the internet and AI technology, it re-affirms the law’s role as a fundamental safeguard of basic rights and the often necessary requirement for it to provide creative and proactive ways to ensure society can enjoy the benefits of technological progress while protecting our normative and practical liberties."
2,"Generative Artificial Intelligence (AI) based on large language models such as ChatGPT, DALL·E 2, Midjourney, Stable Diffusion, JukeBox, and MusicLM can produce text, images, and music that are indistinguishable from human-authored works. The training data for these large language models consists predominantly of copyrighted works. This Article explores how generative AI fits within fair use rulings established in relation to previous generations of copy-reliant technology, including software reverse engineering, automated plagiarism detection systems, and the text-data mining at the heart of the landmark HathiTrust and Google Books cases. Although there is no machine learning exception to the principle of nonexpressive use, the largeness of likelihood models suggest that they are capable of memorizing and reconstituting works in the training data, something that is incompatible with nonexpressive use. At the moment, memorization is an edge case. For the most part, the link between the training data and the output of generative AI is attenuated by a process of decomposition, abstraction, and remix. Generally, pseudo-expression generated by large language models does not infringe copyright because these models ""learn"" latent features and associations within the training data; they do not memorize snippets of original expression from individual works. However, this Article identifies situations in the context of text-to-image models where memorization of the training data is more likely. The computer science literature suggests that memorization is more likely when models are trained on many duplicates of the same work, images are associated with unique text descriptions, and the ratio of the size of the model to the training data is relatively large. This Article shows how these problems are accentuated in the context of copyrightable characters and proposes a set of guidelines for ""Copyright Safety for Generative AI"" to reduce the risk of copyright infringement."
3,"The purpose of this study is to explore the existing problems associated with using generative AI in education and to propose a potential solution for addressing those issues through the design of pedagogical AI agents. The existing problems are examined from two different perspectives: those of teachers and students. The proposed solutions for designing pedagogical AI agents are systematically presented, including main concepts, design considerations, functions, procedures, and structure/templates. An example of how to apply the proposed solution in designing a pedagogical AI agent is provided, illustrating its application in teaching order words (or sequencing words). Finally, the paper concludes with a discussion of potential topics for further research."
4,"We are witnessing an accelerated technological evolution that has enabled the development of artificial intelligence in various fields, allowing it to gradually infiltrate the entire society. We intend to cover only a small subset of AI technologies in our paper, that of Generative Artificial Intelligence (GenAI). Our objectives are to shed light on the legal issues that GenAI can cause and to find solutions to them. We begin with a definition of GenAI in the much broader context of AI technologies. Answers to a few essential questions are to be found: 'How does GenAI work?', 'What could GenAI be used for?', 'What legal issues could arise from using a GenAI?'. To accomplish our goals, we first conduct a literature review to define artificial intelligence (AI) in general and GenAI in particular. Several lawsuits are chosen to illustrate the magnitude of the legal problems and to test the feasibility of possible solutions in both the national and EU legal systems. Then, we analyse GenAI's output, liability for its contents and for its use, altogether with examples of related contractual clauses."
5,"The article focuses on the impact of generative Artificial Intelligence (AI) particularly in image generation, and its implications for evaluation processes, highlighting the challenges and potential changes in assessing AI-generated content. Topics include the quality and detection of AI-generated material, the complexities of evaluating visual content, and the potential transformation of art assessments and job recruitment due to AI advancements."
6,"Generative models are frequently used for de novo design in drug discovery projects to propose new molecules. However, the question of whether or not the generated molecules can be synthesized is not systematically taken into account during generation, even though being able to synthesize the generated molecules is a fundamental requirement for such methods to be useful in practice. Methods have been developed to estimate molecule ""synthesizability"", but, so far, there is no consensus on whether or not a molecule is synthesizable. In this paper we introduce the Retro-Score (RScore), which computes a synthetic accessibility score of molecules by performing a full retrosynthetic analysis through our data-driven synthetic planning software Spaya, and its dedicated API: Spaya-API (https://spaya.ai). We start by comparing several synthetic accessibility scores to a binary ""chemist score"" as estimated by chemists on a bench of generated molecules, as a first experimental validation that the RScore is a reliable synthetic accessibility score. We then describe a pipeline to generate molecules that validate a list of targets while still being easy to synthesize. We further this idea by performing experiments comparing molecular generator outputs across a range of constraints and conditions. We show that the RScore can be learned by a Neural Network, which leads to a new score: RSPred. We demonstrate that using the RScore or RSPred as a constraint during molecular generation enables our molecular generators to produce more synthesizable solutions, with higher diversity. The open-source Python code containing all the scores and the experiments can be found on (https://github.com/iktos/generation-under-synthetic-constraint)."
7,"With the wide availability of large language models and generative AI, there are four primary paradigms for human-AI collaboration: human-only, AI-only (ChatGPT-4), augmented human (where a human makes the final decision with AI output as a reference), or augmented AI (where the AI makes the final decision with human output as a reference). In partnership with one of the world's leading consulting firms, we enlisted professional content creators and ChatGPT-4 to create advertising content for products and persuasive content for campaigns following the aforementioned paradigms. First, we find that, contrary to the expectations of some of the existing algorithm aversion literature on conventional predictive AI, the content generated by generative AI and augmented AI is perceived as of higher quality than that produced by human experts and augmented human experts. Second, revealing the source of content production reduces--but does not reverse--the perceived quality gap between human- and AI-generated content. This bias in evaluation is predominantly driven by human favoritism rather than AI aversion: Knowing that the same content is created by a human expert increases its (reported) perceived quality, but knowing that AI is involved in the creation process does not affect its perceived quality. Further analysis suggests this bias is not due to a 'quality prime' as knowing the content they are about to evaluate comes from competent creators (e.g., industry professionals and state-of-the-art AI) without knowing exactly that the creator of each piece of content does not increase participants' perceived quality."
8,"Besteht die Gefahr der Verstärkung der Bildungsungleichheit durch Studierende und Institutionen, die Zugang zu den Tools und die Kompetenzen zur Nutzung haben und denen, die nicht [5]? In Anbetracht der bemerkenswerten Fortschritte, die in den letzten Monaten zu beobachten sind, sowie derjenigen, die für dieses Jahr erwartet werden, wie die Verbindung von ChatGTP und Bing im Edge-Browser, kann man wohl behaupten, dass die Auswirkungen auf die Menschheit so bedeutend sein werden wie die Verdrängung der Pferde aus den Städten mit der Einführung des Automobils. Umso wichtiger erscheint die konsequente Durchführung evidenzbasierter Lehrforschung bei allen Integrationen von gKI in unseren Lehrbetrieb: In diesem Sinne möchten die Autoren des Editorials einladen, das Sommersemester zu nutzen um Erfahrungen mit der generativen KI in Lehre und Lernen an den Hochschulen zu beschäftigen, und diese Gedanken, Vorstudien und Versuche mitzubringen zu einem Bar-camp auf der kommenden Jahrestagung der Gesellschaft für Medizinische Ausbildung in Osnabrück [https://gma2023.de/] als Beitrag einzubringen. Drehen wir den Spieß einmal um, denn die KI wird sich im Monitor einbrennen, und dennoch werden die Hochschulen und mithin die Lehre weiter existieren: Ist die Vinylplatte verschwunden, obwohl es erst CD's und jetzt Streaming gibt?."
9,"This statement revises our earlier ""WAME Recommendations on ChatGPT and Chatbots in Relation to Scholarly Publications"" (January 20, 2023). The revision reflects the proliferation of chatbots and their expanding use in scholarly publishing over the last few months, as well as emerging concerns regarding lack of authenticity of content when using chatbots. These recommendations are intended to inform editors and help them develop policies for the use of chatbots in papers published in their journals. They aim to help authors and reviewers understand how best to attribute the use of chatbots in their work and to address the need for all journal editors to have access to manuscript screening tools. In this rapidly evolving field, we will continue to modify these recommendations as the software and its applications develop."
10,"Artificial intelligence (AI)-based molecular design methods, especially deep generative models for generating novel molecule structures, have gratified our imagination to explore unknown chemical space without relying on brute-force exploration. However, whether designed by AI or human experts, the molecules need to be accessibly synthesized and biologically evaluated, and the trial-and-error process remains a resources-intensive endeavor. Therefore, AI-based drug design methods face a major challenge of how to prioritize the molecular structures with potential for subsequent drug development. This study indicates that common filtering approaches based on traditional screening metrics fail to differentiate AI-designed molecules. To address this issue, we propose a novel molecular filtering method, MolFilterGAN, based on a progressively augmented generative adversarial network. Comparative analysis shows that MolFilterGAN outperforms conventional screening approaches based on drug-likeness or synthetic ability metrics. Retrospective analysis of AI-designed discoidin domain receptor 1 (DDR1) inhibitors shows that MolFilterGAN significantly increases the efficiency of molecular triaging. Further evaluation of MolFilterGAN on eight external ligand sets suggests that MolFilterGAN is useful in triaging or enriching bioactive compounds across a wide range of target types. These results highlighted the importance of MolFilterGAN in evaluating molecules integrally and further accelerating molecular discovery especially combined with advanced AI generative models."
